criterion,max_depth,min_samples_split,min_samples_leaf,mean_test_score
gini,7,2,4,0.9533333333333334
gini,3,5,5,0.9533333333333334
gini,7,4,9,0.9466666666666668
entropy,5,6,2,0.94
entropy,10,5,7,0.9533333333333334
entropy,2,2,3,0.9466666666666668
gini,5,10,6,0.9533333333333334
gini,7,9,1,0.9533333333333334
entropy,8,4,8,0.9466666666666668
gini,9,4,4,0.9533333333333334
gini,7,4,3,0.9533333333333334
gini,6,3,6,0.9533333333333334
gini,5,8,5,0.96
entropy,7,6,10,0.9466666666666668
entropy,2,3,8,0.9466666666666668
gini,9,5,8,0.9533333333333334
entropy,7,8,4,0.9533333333333334
entropy,5,10,7,0.9533333333333334
gini,10,6,6,0.9533333333333334
gini,9,7,1,0.9533333333333334
gini,6,9,4,0.9533333333333334
entropy,1,9,7,0.6666666666666666
gini,2,9,7,0.9466666666666668
entropy,8,9,7,0.9533333333333334
gini,1,2,3,0.6666666666666666
entropy,6,9,2,0.94
entropy,10,6,1,0.9533333333333334
gini,8,5,9,0.9466666666666668
entropy,2,2,2,0.9533333333333334
gini,6,4,4,0.9533333333333334
gini,2,3,4,0.9533333333333334
gini,5,5,6,0.9533333333333334
gini,7,4,6,0.9533333333333334
gini,5,3,3,0.9533333333333334
gini,8,5,6,0.9533333333333334
gini,8,3,1,0.9533333333333334
gini,7,4,5,0.9533333333333334
gini,5,8,4,0.9533333333333334
gini,8,2,7,0.9533333333333334
gini,2,4,4,0.9466666666666668
gini,7,3,6,0.9533333333333334
gini,5,4,3,0.9533333333333334
gini,8,4,1,0.9533333333333334
gini,8,3,5,0.96
gini,5,6,4,0.9533333333333334
gini,5,6,5,0.96
gini,5,5,3,0.9466666666666668
gini,7,6,6,0.9533333333333334
gini,6,5,3,0.9533333333333334
gini,7,3,7,0.9466666666666668
gini,5,5,4,0.9533333333333334
gini,3,5,4,0.9533333333333334
gini,5,6,6,0.9533333333333334
gini,6,5,5,0.96
gini,6,6,3,0.9533333333333334
gini,7,5,5,0.9533333333333334
gini,6,5,6,0.9533333333333334
gini,3,4,4,0.9533333333333334
gini,5,7,5,0.9533333333333334
gini,9,5,6,0.9533333333333334
gini,6,6,5,0.96
gini,7,5,2,0.94
gini,6,3,4,0.9533333333333334
gini,4,6,4,0.9533333333333334
gini,7,6,5,0.96
gini,6,7,5,0.9533333333333334
gini,8,3,6,0.9533333333333334
gini,8,6,6,0.9533333333333334
gini,6,2,4,0.9533333333333334
gini,8,4,5,0.9533333333333334
gini,7,4,2,0.94
gini,3,6,4,0.9533333333333334
entropy,10,2,10,0.9533333333333334
entropy,1,2,1,0.6666666666666666
gini,10,10,10,0.9533333333333334
gini,1,10,10,0.6666666666666666
gini,10,10,1,0.9533333333333334
entropy,7,10,4,0.9533333333333334
gini,5,10,1,0.9533333333333334
gini,8,10,4,0.9533333333333334
entropy,10,6,10,0.9533333333333334
gini,8,6,1,0.9533333333333334
gini,8,3,10,0.9466666666666668
gini,7,7,4,0.9533333333333334
gini,10,2,1,0.9533333333333334
gini,10,3,10,0.9533333333333334
entropy,10,5,1,0.9533333333333334
gini,8,8,8,0.9466666666666668
gini,10,2,6,0.9533333333333334
entropy,10,10,8,0.9466666666666668
gini,10,6,1,0.9533333333333334
entropy,8,4,7,0.9533333333333334
gini,5,10,4,0.9533333333333334
gini,7,10,1,0.9533333333333334
entropy,5,8,3,0.9533333333333334
entropy,10,2,3,0.9533333333333334
entropy,10,3,8,0.9533333333333334
gini,10,4,3,0.9533333333333334
entropy,10,10,3,0.9533333333333334
gini,7,2,6,0.9533333333333334
gini,6,5,7,0.9533333333333334
entropy,1,7,5,0.6666666666666666
gini,3,8,10,0.9533333333333334
entropy,9,9,2,0.94
gini,9,3,5,0.96
entropy,7,5,7,0.9533333333333334
gini,8,10,8,0.9533333333333334
entropy,2,6,9,0.9466666666666668
gini,2,2,7,0.9533333333333334
gini,5,2,6,0.9533333333333334
entropy,7,3,5,0.9533333333333334
gini,1,6,7,0.6666666666666666
gini,8,5,2,0.94
gini,8,8,9,0.9466666666666668
entropy,4,4,9,0.9466666666666668
entropy,7,7,2,0.94
entropy,6,2,7,0.9533333333333334
entropy,9,5,9,0.9533333333333334
gini,9,8,10,0.9466666666666668
gini,9,8,2,0.94
entropy,9,8,2,0.94
gini,1,4,9,0.6666666666666666
entropy,9,3,4,0.9533333333333334
entropy,6,2,8,0.9533333333333334
entropy,4,9,8,0.9466666666666668
gini,1,2,1,0.9533333333333334
entropy,3,6,1,0.9533333333333334
gini,9,5,7,0.9466666666666668
entropy,1,7,4,0.6666666666666666
entropy,6,10,5,0.96
gini,9,10,7,0.9466666666666668
gini,8,7,6,0.9533333333333334
gini,7,6,4,0.9533333333333334
gini,7,8,1,0.9533333333333334
gini,6,10,7,0.9466666666666668
entropy,3,6,5,0.96
entropy,10,8,7,0.9533333333333334
gini,9,10,3,0.9533333333333334
entropy,8,6,9,0.9466666666666668
gini,8,8,6,0.9533333333333334
entropy,1,3,3,0.6666666666666666
gini,8,10,5,0.96
entropy,7,7,4,0.9533333333333334
gini,6,10,8,0.9466666666666668
gini,6,8,9,0.9533333333333334
entropy,1,8,7,0.6666666666666666
gini,7,7,9,0.9466666666666668
entropy,10,7,4,0.9533333333333334
gini,5,4,6,0.9533333333333334
gini,7,9,5,0.96
gini,1,10,6,0.6666666666666666
entropy,4,2,7,0.9466666666666668
gini,9,10,6,0.9533333333333334
entropy,3,10,1,0.9533333333333334
gini,7,3,3,0.9466666666666668
entropy,1,2,2,0.6666666666666666
entropy,8,5,3,0.9533333333333334
gini,10,8,5,0.9533333333333334
gini,10,7,6,0.9533333333333334
gini,10,5,5,0.9533333333333334
gini,10,5,1,0.9533333333333334
gini,10,10,3,0.9533333333333334
entropy,8,8,3,0.9533333333333334
entropy,10,8,5,0.96
gini,10,8,8,0.9533333333333334
entropy,5,3,6,0.9533333333333334
entropy,10,5,5,0.9533333333333334
gini,10,8,10,0.9533333333333334
entropy,5,8,10,0.9466666666666668
gini,7,7,10,0.9466666666666668
entropy,10,6,9,0.9466666666666668
gini,10,2,10,0.9466666666666668
gini,5,7,10,0.9466666666666668
entropy,4,2,10,0.9466666666666668
gini,8,7,10,0.9466666666666668
entropy,6,10,1,0.9533333333333334
entropy,1,10,3,0.6666666666666666
entropy,3,10,6,0.9533333333333334
entropy,5,5,2,0.94
gini,6,10,2,0.94
gini,8,7,3,0.9533333333333334
gini,7,9,10,0.9466666666666668
entropy,1,6,8,0.6666666666666666
gini,1,10,3,0.6666666666666666
gini,4,7,3,0.9533333333333334
entropy,4,10,1,0.9533333333333334
entropy,10,5,6,0.9533333333333334
gini,9,7,10,0.9533333333333334
gini,5,6,8,0.9466666666666668
entropy,8,10,5,0.96
gini,1,10,5,0.6666666666666666
gini,6,7,7,0.9466666666666668
gini,8,8,4,0.9533333333333334
gini,3,3,10,0.9533333333333334
entropy,3,9,1,0.9533333333333334
gini,10,10,5,0.9533333333333334
entropy,5,5,5,0.9533333333333334
gini,4,10,9,0.9466666666666668
gini,10,3,4,0.9533333333333334
entropy,1,6,1,0.6666666666666666
gini,8,6,9,0.9533333333333334
gini,2,10,8,0.9533333333333334
entropy,4,6,6,0.9533333333333334
entropy,1,7,8,0.6666666666666666
entropy,4,8,10,0.9533333333333334
entropy,6,2,10,0.9533333333333334
entropy,7,5,2,0.94
entropy,10,6,2,0.94
entropy,9,5,2,0.94
entropy,8,10,7,0.9533333333333334
gini,4,5,10,0.9533333333333334
entropy,3,8,10,0.9533333333333334
entropy,1,6,10,0.6666666666666666
gini,8,5,3,0.9533333333333334
entropy,1,8,4,0.6666666666666666
entropy,5,2,5,0.9533333333333334
gini,7,5,6,0.9533333333333334
entropy,1,6,7,0.6666666666666666
entropy,1,9,8,0.6666666666666666
entropy,4,10,9,0.9466666666666668
gini,10,7,9,0.9466666666666668
entropy,1,5,3,0.6666666666666666
entropy,1,5,1,0.6666666666666666
entropy,9,10,4,0.9533333333333334
gini,10,6,7,0.9466666666666668
gini,10,7,1,0.9533333333333334
gini,8,10,10,0.9466666666666668
entropy,1,2,4,0.6666666666666666
entropy,10,9,10,0.9533333333333334
gini,10,9,7,0.9533333333333334
entropy,10,10,1,0.9533333333333334
entropy,2,7,5,0.9466666666666668
gini,3,10,9,0.9466666666666668
entropy,10,10,9,0.9533333333333334
gini,10,10,7,0.9466666666666668
entropy,1,9,10,0.6666666666666666
gini,10,4,10,0.9466666666666668
gini,5,2,8,0.9466666666666668
gini,10,10,6,0.9533333333333334
gini,1,10,9,0.6666666666666666
entropy,2,2,10,0.9466666666666668
gini,10,10,8,0.9466666666666668
gini,4,10,1,0.9533333333333334
entropy,2,2,1,0.9533333333333334
gini,3,3,7,0.9533333333333334
entropy,5,2,8,0.9466666666666668
gini,10,3,1,0.9533333333333334
entropy,10,8,8,0.9533333333333334
entropy,8,2,1,0.9533333333333334
entropy,7,5,6,0.9533333333333334
gini,9,4,6,0.9533333333333334
gini,3,3,4,0.9533333333333334
entropy,5,2,6,0.9533333333333334
gini,9,7,6,0.9533333333333334
gini,5,2,3,0.9533333333333334
gini,7,2,1,0.9533333333333334
gini,10,7,3,0.9533333333333334
gini,4,2,4,0.9533333333333334
gini,6,2,10,0.9533333333333334
gini,10,4,4,0.9533333333333334
entropy,10,2,4,0.9533333333333334
entropy,10,5,2,0.94
entropy,9,10,3,0.9533333333333334
entropy,6,4,1,0.9533333333333334
entropy,9,2,8,0.9466666666666668
gini,10,5,8,0.9533333333333334
gini,6,2,3,0.9533333333333334
gini,10,2,5,0.9533333333333334
entropy,4,10,5,0.9533333333333334
entropy,9,4,5,0.96
gini,8,2,1,0.96
entropy,9,2,9,0.9466666666666668
gini,7,5,3,0.9533333333333334
entropy,10,8,1,0.9533333333333334
entropy,2,4,3,0.9466666666666668
gini,1,3,1,0.6666666666666666
gini,3,4,10,0.9466666666666668
gini,8,2,10,0.9533333333333334
entropy,8,3,5,0.9533333333333334
entropy,10,7,7,0.9533333333333334
entropy,9,5,1,0.9533333333333334
entropy,5,7,3,0.9533333333333334
gini,1,3,7,0.6666666666666666
entropy,10,4,4,0.9533333333333334
entropy,7,2,6,0.9533333333333334
entropy,10,2,1,0.9533333333333334
gini,7,4,10,0.9533333333333334
gini,9,2,4,0.9533333333333334
entropy,10,7,3,0.9533333333333334
entropy,6,7,10,0.9466666666666668
gini,10,2,8,0.9466666666666668
gini,3,3,2,0.94
entropy,4,2,1,0.9533333333333334
entropy,9,5,6,0.9533333333333334
gini,9,8,8,0.9533333333333334
gini,7,4,4,0.9533333333333334
entropy,4,9,1,0.9533333333333334
gini,9,4,1,0.9533333333333334
gini,3,4,8,0.9533333333333334
entropy,3,2,9,0.9466666666666668
gini,10,2,3,0.9533333333333334
gini,5,2,1,0.9533333333333334
entropy,9,7,4,0.9533333333333334
gini,10,3,8,0.9533333333333334
entropy,5,4,5,0.96
gini,6,2,1,0.9533333333333334
entropy,9,7,8,0.9533333333333334
gini,2,10,7,0.9466666666666668
gini,7,9,7,0.9466666666666668
entropy,6,2,9,0.9466666666666668
entropy,10,7,10,0.9533333333333334
gini,10,9,3,0.9533333333333334
gini,10,6,8,0.9533333333333334
gini,9,3,6,0.9533333333333334
entropy,1,8,8,0.6666666666666666
gini,3,10,6,0.9533333333333334
entropy,7,4,7,0.9533333333333334
gini,4,2,3,0.9533333333333334
entropy,8,10,8,0.9466666666666668
entropy,10,4,6,0.9533333333333334
entropy,3,3,2,0.94
gini,10,6,4,0.9533333333333334
entropy,3,3,4,0.9533333333333334
gini,8,5,10,0.9533333333333334
gini,9,2,9,0.9533333333333334
gini,6,10,3,0.9533333333333334
gini,5,3,1,0.9533333333333334
gini,1,3,2,0.6666666666666666
gini,3,7,6,0.9533333333333334
gini,1,6,5,0.6666666666666666
entropy,5,2,1,0.9533333333333334
gini,6,6,6,0.9533333333333334
entropy,6,5,8,0.9533333333333334
entropy,5,2,3,0.9466666666666668
gini,1,3,8,0.6666666666666666
gini,2,2,8,0.9533333333333334
gini,6,2,7,0.9533333333333334
gini,9,2,1,0.9533333333333334
gini,7,10,2,0.94
entropy,7,6,5,0.96
gini,10,5,10,0.9533333333333334
entropy,10,3,10,0.9466666666666668
entropy,10,6,6,0.9533333333333334
gini,9,10,1,0.9533333333333334
gini,5,8,1,0.9533333333333334
gini,8,5,5,0.9533333333333334
gini,4,3,10,0.9466666666666668
entropy,2,10,5,0.9533333333333334
entropy,10,2,2,0.94
entropy,8,2,2,0.94
gini,10,5,2,0.94
entropy,7,2,1,0.96
entropy,1,2,10,0.6666666666666666
gini,6,7,10,0.9466666666666668
gini,8,2,9,0.9466666666666668
gini,9,2,5,0.9533333333333334
entropy,4,7,3,0.9533333333333334
gini,5,6,9,0.9466666666666668
gini,10,3,6,0.9533333333333334
gini,1,3,3,0.6666666666666666
entropy,10,10,6,0.9533333333333334
gini,6,2,5,0.96
gini,10,2,7,0.9466666666666668
gini,9,4,5,0.96
entropy,9,7,5,0.9533333333333334
entropy,10,2,7,0.9533333333333334
gini,8,4,6,0.9533333333333334
entropy,10,3,2,0.94
entropy,10,3,7,0.9466666666666668
entropy,5,10,5,0.96
entropy,7,3,7,0.9466666666666668
gini,2,2,5,0.9466666666666668
entropy,7,8,7,0.9533333333333334
gini,1,6,8,0.6666666666666666
gini,9,10,8,0.9533333333333334
entropy,10,2,9,0.9533333333333334
entropy,5,7,5,0.96
gini,4,7,4,0.9533333333333334
gini,7,8,9,0.9533333333333334
gini,10,3,7,0.9466666666666668
gini,10,5,4,0.9533333333333334
gini,10,4,2,0.94
entropy,4,2,3,0.9533333333333334
entropy,8,4,4,0.9533333333333334
gini,6,3,9,0.9466666666666668
gini,3,2,8,0.9533333333333334
gini,5,3,4,0.9533333333333334
entropy,9,2,6,0.9533333333333334
entropy,10,2,6,0.9533333333333334
gini,1,9,1,0.6666666666666666
entropy,5,4,7,0.9466666666666668
entropy,4,2,5,0.9533333333333334
gini,10,7,10,0.9466666666666668
entropy,1,2,5,0.6666666666666666
entropy,5,7,10,0.9466666666666668
entropy,2,6,8,0.9533333333333334
entropy,10,7,6,0.9533333333333334
entropy,10,7,9,0.9466666666666668
gini,6,10,5,0.96
entropy,8,2,3,0.9466666666666668
gini,9,8,1,0.9533333333333334
entropy,10,4,10,0.9466666666666668
entropy,4,3,4,0.9533333333333334
entropy,9,2,7,0.9466666666666668
gini,3,2,3,0.9533333333333334
entropy,9,2,1,0.96
entropy,8,2,10,0.9466666666666668
gini,7,7,6,0.9533333333333334
entropy,5,2,4,0.9533333333333334
gini,8,6,3,0.9533333333333334
gini,10,4,1,0.9533333333333334
gini,4,5,5,0.9533333333333334
gini,2,10,4,0.9533333333333334
entropy,6,6,6,0.9533333333333334
gini,8,2,6,0.9533333333333334
entropy,5,3,1,0.9533333333333334
gini,5,2,2,0.94
gini,10,5,9,0.9466666666666668
entropy,9,4,3,0.9533333333333334
entropy,1,2,6,0.6666666666666666
entropy,2,2,5,0.9533333333333334
entropy,7,2,5,0.96
gini,8,10,7,0.9533333333333334
entropy,1,2,3,0.6666666666666666
entropy,10,5,9,0.9466666666666668
gini,9,2,2,0.94
gini,5,6,1,0.9533333333333334
gini,3,3,8,0.9533333333333334
entropy,7,6,7,0.9466666666666668
entropy,3,4,10,0.9466666666666668
entropy,8,5,5,0.9533333333333334
entropy,6,4,8,0.9466666666666668
entropy,6,2,5,0.9533333333333334
gini,7,2,9,0.9533333333333334
entropy,10,3,3,0.9466666666666668
entropy,7,6,4,0.9533333333333334
entropy,2,2,6,0.9466666666666668
entropy,2,6,3,0.9533333333333334
entropy,9,6,8,0.9466666666666668
entropy,4,5,2,0.94
entropy,5,6,6,0.9533333333333334
entropy,1,3,5,0.6666666666666666
entropy,4,3,7,0.9466666666666668
entropy,10,3,1,0.9533333333333334
entropy,8,8,7,0.9533333333333334
entropy,4,8,4,0.9533333333333334
entropy,4,2,6,0.9533333333333334
gini,3,2,1,0.9533333333333334
entropy,10,6,8,0.9533333333333334
gini,9,6,10,0.9533333333333334
gini,2,6,10,0.9533333333333334
gini,8,5,4,0.9533333333333334
